,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
0,274749,SD,661198,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.153846,40.0
1,274749,SD,661198,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.25,36.0
2,274749,SD,661198,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.023077,6.0
3,274749,SD,661199,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.076923,20.0
4,274749,SD,661199,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",0.125,18.0
5,274749,SD,661199,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.153846,40.0
6,274749,SD,661199,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.25,36.0
7,274749,SD,661199,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.023077,6.0
8,225582,SD,660782,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",1.0,260.0
9,225582,SD,660782,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.153846,40.0
10,225582,SD,661017,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.153846,40.0
11,365411,SD,174026,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.142857,32.0
12,261269,SD,661167,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.769231,200.0
13,274066,SD,173889,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",1.0,72.0
14,274066,SD,173889,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",2.0,100.0
15,274066,SD,174160,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",0.125,20.0
16,274066,SD,174160,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",0.044872,7.0
17,274066,SD,660858,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",3.923077,1020.0
18,274066,SD,660858,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",2.0,288.0
19,274066,SD,660858,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",2.75,748.0
20,274066,SD,660859,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.176923,46.0
21,274066,SD,660859,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",0.2,16.0
22,274066,SD,660859,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.323077,84.0
23,274066,SD,660859,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.076923,20.0
24,225591,SD,173799,6010900001,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",0.032895,10.0
25,242848,SD,174221,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",0.1875,30.0
